True Label,User Choice,Reaction Time (s)
duck,duck,0.508
duck,duck,0.482
duck,duck,0.402
duck,duck,0.466
duck,duck,0.482
duck,duck,0.403
llama,llama,0.548
llama,llama,0.515
llama,llama,0.531
duck,duck,0.47
llama,llama,0.763
llama,llama,0.456
llama,llama,0.471
duck,duck,0.442
llama,llama,0.469
llama,llama,0.564
llama,llama,0.47
duck,duck,0.489
llama,llama,0.452
duck,duck,0.694
llama,llama,0.582
duck,duck,0.419
duck,duck,0.436
duck,duck,0.434
duck,duck,0.386
llama,llama,0.708
duck,duck,0.502
llama,llama,0.518
duck,duck,0.497
duck,duck,0.531
llama,llama,0.53
llama,llama,0.576
duck,duck,0.518
duck,duck,0.644
llama,duck,0.504
duck,duck,0.79
duck,duck,0.402
duck,duck,0.498
duck,duck,0.464
llama,llama,0.547
duck,duck,0.467
llama,llama,0.662
duck,duck,0.531
duck,duck,0.529
duck,duck,0.435
duck,duck,0.418
duck,duck,0.647
duck,duck,0.518
llama,llama,0.577
duck,duck,0.535
duck,duck,0.42
llama,llama,0.568
duck,duck,0.58
llama,llama,0.5
llama,llama,0.506
duck,duck,0.653
llama,llama,0.567
duck,duck,0.55
llama,llama,0.728
duck,duck,0.515
llama,llama,0.469
duck,duck,0.633
duck,llama,0.358
duck,llama,0.616
duck,duck,0.724
duck,duck,0.437
llama,llama,0.58
duck,duck,0.598
llama,llama,0.503
llama,llama,0.444
duck,duck,0.532
duck,duck,0.809
duck,duck,0.437
duck,duck,0.391
llama,llama,0.603
duck,duck,0.451
duck,llama,0.467
llama,llama,0.712
duck,duck,0.503
duck,duck,0.515
duck,duck,0.735
llama,duck,0.452
duck,duck,0.647
llama,llama,0.659
duck,duck,0.726
duck,duck,0.528
duck,duck,0.516
duck,duck,0.644
llama,llama,0.63
duck,duck,0.612
llama,llama,0.566
llama,llama,0.53
duck,duck,0.515
llama,llama,0.774
llama,llama,0.664
llama,llama,0.513
llama,llama,0.53
duck,duck,0.484
duck,duck,0.555
duck,duck,0.453
duck,duck,0.468
llama,llama,0.486
llama,llama,0.658
llama,llama,0.434
llama,llama,0.5
duck,duck,0.518
duck,llama,0.516
llama,duck,0.08
duck,duck,0.868
duck,duck,0.502
duck,duck,0.6
duck,duck,0.502
duck,duck,0.649
duck,duck,0.694
duck,duck,0.725
llama,llama,0.6
llama,llama,0.612
duck,duck,0.531
duck,duck,0.531
duck,duck,0.547
duck,duck,0.421
llama,llama,0.468
duck,duck,0.58
llama,llama,0.564
llama,llama,0.504
duck,duck,0.454
duck,duck,0.544
llama,llama,0.534
duck,duck,0.529
llama,llama,0.419
duck,duck,0.583
duck,duck,0.485
duck,duck,0.418
duck,duck,0.515
duck,duck,0.418
duck,duck,0.404
duck,duck,0.449
duck,duck,0.465
llama,llama,0.648
llama,llama,0.53
duck,duck,0.486
llama,llama,0.628
llama,llama,0.549
llama,llama,0.597
llama,llama,0.595
duck,duck,0.575
duck,duck,0.517
llama,llama,0.532
duck,llama,0.178
duck,duck,0.402
duck,duck,0.496
llama,llama,0.501
llama,llama,0.482
duck,duck,0.681
llama,llama,0.487
duck,duck,0.579
duck,duck,0.385
duck,duck,0.486
llama,llama,0.516
llama,llama,0.5
duck,duck,0.451
duck,llama,0.468
duck,duck,0.694
duck,duck,0.386
llama,llama,0.61
duck,duck,0.533
duck,duck,0.535
duck,duck,0.484
llama,llama,0.614
duck,duck,0.499
duck,duck,0.692
llama,llama,0.777
duck,duck,0.642
duck,duck,0.519
duck,duck,0.481
llama,llama,0.5
duck,duck,0.711
duck,duck,0.691
llama,llama,0.551
llama,llama,0.497
duck,duck,0.549
duck,duck,0.545
llama,llama,0.645
llama,llama,0.629
duck,duck,0.616
llama,llama,0.707
duck,duck,0.921
llama,llama,0.48
llama,llama,0.518
duck,duck,0.546
llama,duck,0.564
llama,llama,0.723
llama,llama,0.545
duck,duck,0.531
duck,duck,0.512
duck,none,1.0
llama,duck,0.113
llama,llama,0.97
duck,duck,0.468
duck,llama,0.418
llama,llama,0.566
llama,llama,0.725
duck,duck,0.435
llama,llama,0.561
duck,duck,0.582
llama,llama,0.646
duck,duck,0.646
llama,llama,0.499
duck,duck,0.58
duck,duck,0.433
llama,llama,0.482
duck,duck,0.547
duck,duck,0.549
duck,duck,0.405
llama,llama,0.483
llama,llama,0.498
llama,llama,0.517
duck,duck,0.557
llama,llama,0.516
llama,llama,0.5
