True Label,User Choice,Reaction Time (s)
duck,duck,0.708
duck,duck,0.547
llama,llama,0.484
llama,llama,0.406
duck,duck,0.437
llama,llama,0.544
duck,duck,0.418
duck,duck,0.42
duck,duck,0.439
llama,llama,0.584
llama,llama,0.489
duck,duck,0.47
llama,llama,0.582
duck,duck,0.426
llama,llama,0.578
llama,llama,0.469
duck,duck,0.522
llama,llama,0.575
duck,duck,0.679
duck,duck,0.449
duck,duck,0.409
duck,duck,0.582
llama,llama,0.566
duck,duck,0.433
duck,duck,0.521
duck,duck,0.568
llama,llama,0.497
duck,duck,0.454
llama,llama,0.405
