True Label,User Choice,Reaction Time (s)
duck,llama,0.708
llama,llama,0.614
duck,duck,0.466
duck,duck,0.6
llama,llama,0.58
llama,llama,0.435
llama,llama,0.551
llama,none,1.0
duck,duck,0.568
duck,duck,0.466
llama,llama,0.447
duck,duck,0.497
duck,duck,0.597
llama,llama,0.452
duck,duck,0.467
duck,duck,0.438
duck,duck,0.485
duck,duck,0.437
duck,duck,0.438
duck,duck,0.484
llama,llama,0.519
duck,duck,0.548
llama,llama,0.545
llama,llama,0.532
duck,duck,0.482
llama,llama,0.741
llama,llama,0.507
