True Label,User Choice,Reaction Time (s)
duck,duck,0.457
llama,llama,0.535
duck,llama,0.449
duck,llama,0.47
llama,duck,0.081
duck,duck,0.676
duck,duck,0.532
llama,llama,0.498
duck,duck,0.453
duck,llama,0.502
llama,llama,0.534
duck,duck,0.561
duck,duck,0.419
duck,duck,0.418
llama,llama,0.482
llama,llama,0.438
llama,llama,0.422
llama,llama,0.404
llama,llama,0.545
llama,llama,0.482
llama,llama,0.386
duck,duck,0.434
llama,llama,0.434
llama,llama,0.451
llama,llama,0.385
duck,duck,0.468
llama,llama,0.533
llama,llama,0.386
duck,duck,0.465
llama,duck,0.452
llama,duck,0.467
duck,duck,0.563
duck,duck,0.435
duck,duck,0.468
duck,duck,0.404
llama,llama,0.516
duck,llama,0.434
duck,duck,0.597
llama,llama,0.452
llama,llama,0.617
duck,duck,0.451
duck,duck,0.658
duck,duck,0.417
llama,llama,0.497
llama,llama,0.6
llama,llama,0.467
duck,duck,0.663
llama,llama,0.504
llama,duck,0.499
llama,llama,0.53
llama,llama,0.577
duck,duck,0.452
llama,llama,0.498
llama,duck,0.512
llama,llama,0.63
duck,duck,0.466
llama,llama,0.694
llama,llama,0.562
duck,llama,0.386
duck,duck,0.483
llama,llama,0.529
llama,llama,0.467
llama,llama,0.469
llama,llama,0.452
duck,duck,0.5
duck,duck,0.466
llama,llama,0.48
duck,duck,0.466
llama,llama,0.45
duck,llama,0.501
llama,llama,0.642
duck,duck,0.517
llama,llama,0.515
llama,duck,0.468
duck,duck,0.546
llama,llama,0.566
duck,duck,0.484
duck,duck,0.496
llama,llama,0.435
duck,duck,0.483
llama,llama,0.531
duck,duck,0.501
llama,llama,0.531
duck,duck,0.562
duck,duck,0.515
llama,llama,0.47
duck,duck,0.514
duck,llama,0.47
llama,llama,0.438
llama,llama,0.548
llama,llama,0.566
duck,duck,0.531
duck,duck,0.533
duck,duck,0.486
llama,llama,0.519
duck,duck,0.467
llama,llama,0.484
llama,llama,0.53
duck,duck,0.565
llama,llama,0.515
llama,llama,0.579
llama,llama,0.482
llama,llama,0.513
llama,llama,0.404
llama,llama,0.436
duck,llama,0.419
llama,llama,0.466
llama,llama,0.468
llama,llama,0.468
llama,llama,0.388
duck,duck,0.454
llama,llama,0.581
llama,llama,0.549
duck,duck,0.468
duck,llama,0.464
llama,llama,0.467
llama,llama,0.403
duck,duck,0.502
llama,llama,0.484
duck,duck,0.469
duck,duck,0.435
duck,duck,0.418
llama,llama,0.482
llama,llama,0.467
duck,duck,0.517
llama,duck,0.45
duck,duck,0.499
duck,duck,0.583
duck,duck,0.678
duck,duck,0.421
llama,llama,0.513
duck,duck,0.484
duck,duck,0.432
llama,llama,0.418
llama,llama,0.405
duck,duck,0.514
llama,llama,0.531
duck,duck,0.448
llama,llama,0.421
duck,duck,0.498
llama,llama,0.403
llama,llama,0.422
llama,llama,0.418
llama,llama,0.404
llama,llama,0.405
duck,duck,0.466
duck,duck,0.467
llama,llama,0.452
llama,llama,0.422
llama,llama,0.581
llama,duck,0.434
llama,llama,0.66
llama,llama,0.544
duck,duck,0.42
duck,duck,0.483
duck,duck,0.58
duck,llama,0.482
llama,llama,0.487
duck,duck,0.495
duck,duck,0.387
duck,duck,0.467
llama,llama,0.419
llama,llama,0.403
llama,llama,0.418
duck,duck,0.436
duck,duck,0.385
duck,duck,0.454
llama,llama,0.516
llama,llama,0.611
duck,llama,0.402
llama,llama,0.434
duck,duck,0.515
llama,llama,0.579
llama,llama,0.531
duck,duck,0.452
duck,duck,0.434
duck,duck,0.451
llama,llama,0.419
llama,llama,0.496
llama,llama,0.422
duck,duck,0.468
llama,llama,0.5
duck,duck,0.576
duck,duck,0.628
duck,duck,0.421
llama,llama,0.439
llama,llama,0.581
duck,duck,0.646
llama,llama,0.516
duck,duck,0.482
duck,duck,0.453
llama,duck,0.404
duck,duck,0.516
llama,llama,0.549
duck,duck,0.55
duck,duck,0.486
duck,duck,0.501
duck,duck,0.58
duck,duck,0.566
duck,duck,0.545
duck,duck,0.483
duck,duck,0.48
llama,llama,0.517
duck,duck,0.482
duck,duck,0.596
llama,llama,0.467
llama,llama,0.532
duck,duck,0.496
duck,duck,0.518
llama,llama,0.532
llama,llama,0.45
duck,none,1.0
duck,duck,0.032
duck,duck,0.662
llama,llama,0.516
duck,llama,0.664
llama,llama,0.616
llama,duck,0.579
llama,llama,0.711
duck,duck,0.483
llama,llama,0.569
llama,llama,0.515
llama,llama,0.692
duck,duck,0.512
duck,duck,0.516
llama,llama,0.514
llama,llama,0.548
duck,duck,0.483
llama,llama,0.517
llama,llama,0.643
duck,duck,0.453
duck,llama,0.47
duck,duck,0.515
llama,llama,0.465
llama,llama,0.483
duck,duck,0.565
duck,duck,0.513
llama,llama,0.453
llama,llama,0.549
llama,llama,0.473
duck,duck,0.551
