True Label,User Choice,Reaction Time (s)
llama,llama,0.925
llama,llama,0.707
llama,llama,0.423
duck,duck,0.481
duck,llama,0.55
llama,llama,0.695
llama,llama,0.548
llama,llama,0.529
llama,llama,0.469
llama,llama,0.448
llama,llama,0.502
llama,llama,0.529
llama,llama,0.625
duck,duck,0.594
llama,llama,0.577
duck,duck,0.69
llama,llama,0.544
duck,duck,0.673
llama,llama,0.497
llama,duck,0.592
llama,llama,0.577
duck,duck,0.662
duck,duck,0.609
duck,duck,0.675
llama,llama,0.5
duck,duck,0.596
llama,llama,0.723
duck,duck,0.624
llama,llama,0.626
llama,llama,0.705
llama,llama,0.562
llama,llama,0.724
duck,duck,0.563
llama,llama,0.596
duck,duck,0.546
llama,llama,0.608
llama,llama,0.612
duck,duck,0.529
duck,duck,0.595
duck,duck,0.689
duck,duck,0.659
duck,duck,0.563
duck,duck,0.706
llama,llama,0.599
duck,duck,0.903
llama,llama,0.61
duck,duck,0.834
duck,llama,0.421
llama,llama,0.703
