True Label,User Choice,Reaction Time (s)
llama,llama,0.52
duck,none,1.0
llama,none,1.0
duck,duck,0.828
duck,duck,0.506
llama,llama,0.651
llama,llama,0.81
llama,none,1.0
llama,llama,0.16
llama,none,1.0
llama,llama,0.649
llama,llama,0.673
llama,llama,0.598
llama,llama,0.584
llama,llama,0.681
llama,llama,0.583
llama,llama,0.536
llama,llama,0.502
llama,llama,0.485
llama,llama,0.42
duck,duck,0.501
llama,llama,0.487
duck,duck,0.645
